 NAZEV        TYP BODY RA2000   DE2000  M0          PER          MAX   PRIM  SEK   OB ZDROJ                 VD   MD   MAPA     ATRAKTIV   POZNAMKA        GSC         ZMENA 
 GSC 02440434 11     8 100346   +012510 2453386.612 0.60357700   11.6  11.9  11.7  V  Brát L.               EB   0.0                                      00244.00434
 GSC:02440434 11     8 100346   +012510 2453386.914 0.60357700   11.6  11.9  11.7  V  Brát L.               EB   0.0                                      00244.00434
 GSC 10400399 10    10 190723   +084333 2453208.488 1.27427400   10.33 11.50 10.50 V  computed              6    0.0  PROSPER                             01040.00399   
 GSC:10400399 10    10 190723   +084333 2453209.125 1.27427400   10.33 11.50 10.50 V  computed              6    0.0  PROSPER                             01040.00399   
 GSC 10770828 09    10 201310   +102039 2452879.640 0.85276860    8.75  9.34  9.30 V  computed              5    0.0  PROSPER                             01077.00828   
 GSC:10770828 09    10 201310   +102039 2452880.066 0.85276860    8.75  9.34  9.30 V  computed              5    0.0  PROSPER                             01077.00828   
 V1097 Her    11    10 173328   +265548 2453233.455 0.36084740   10.90 11.47 10.45 V  computed              W         PROSPER                             02083.01870   
 V1097:Her    11    10 173328   +265548 2453233.636 0.36084740   10.90 11.47 10.45 V  computed              W         PROSPER                             02083.01870   
 GSC 27500854 11    10 230131   +304427 2453613.579 0.47165200   10.7  11.1  10.8  V  computed              5    0.0  PROSPER                             02750.00854
 GSC:27500854 11    10 230131   +304427 2452613.815 0.47165200   10.7  11.1  10.8  V  computed              5    0.0  PROSPER                             02750.00854
 GSC 27741779 12    10 233409   +341854 2452003.600 3.94922400   12.1  13.2  12.3  V  computed              19   0.0  PROSPER                             02774.01779
 GSC:27741779 12    10 233409   +341854 2452005.575 3.94922400   12.1  13.2  12.3  V  computed              19   0.0  PROSPER                             02774.01779
 GSC 27751188 11    10 234819   +344833 2453355.170 2.52169300   11.5  12.9  11.6  V  computed              7    0.0  PROSPER                             02775.01188
 GSC:27751188 11    10 234819   +344833 2453356.431 2.52169300   11.5  12.9  11.6  V  computed              7    0.0  PROSPER                             02775.01188
 GSC 27790288 10    10 234823   +361839 2453255.510 2.58830712    9.9  10.4  10.2  V  computed              6    0.0  PROSPER                             02779.00288  
 GSC:27790288 10    10 234823   +361839 2453256.804 2.58830712    9.9  10.4  10.2  V  computed              6    0.0  PROSPER                             02779.00288  
 GSC 29780366 10    10 083716   +412222 2453000.760 1.81134848    9.9  10.7  10.2  V  computed              11   0.0  PROSPER                             02978.00366
 GSC:29780366 10    10 083716   +412222 2453001.666 1.81134848    9.9  10.7  10.2  V  computed              11   0.0  PROSPER                             02978.00366
 GSC 44201984 11    10 165557   +681200 2453613.393 0.61929600   11.52 12.16 12.15 V  computed              W         PROSPER                             04420.01984   
 GSC:44201984 11    10 165557   +681200 2453613.703 0.61929600   11.52 12.16 12.15 V  computed              W         PROSPER                             04420.01984   
 HadV 26      13    10 214900   +121600 2452982.234 1.47809700   12.6  13.5  12.7  V  computed              7    0.0  PROSPER                             01129.01457 
 HadV:26      13    10 214900   +121600 2452982.973 1.47809700   12.6  13.5  12.7  V  computed              7    0.0  PROSPER                             01129.01457 
 HD 226957    10    10 195916   +363208 2453256.433 1.38890300   10.1  10.6  10.5  V  computed              10   0.0  PROSPER                             02682.02870
 HD:226957    10    10 195916   +363208 2453257.128 1.38890300   10.1  10.6  10.5  V  computed              10   0.0  PROSPER                             02682.02870
 LR Com       12    10 124507   +213933 2449687.282 0.89629900   11.9  12.9  12.2  V  computed              4    0.0  PROSPER                             01448.02869
 LR:Com       12    10 124507   +213933 2449687.731 0.89629900   11.9  12.9  12.2  V  computed              4    0.0  PROSPER                             01448.02869
 V440 And     13    10 002650   +414908 2453224.531 1.58258351   12.8  13.4  13.1  V  computed              3    0.0  PROSPER                             02791.02148
 V440:And     13    10 002650   +414908 2453225.322 1.58258351   12.8  13.4  13.1  V  computed              3    0.0  PROSPER                             02791.02148
 MisV 1275    13    10 021707   +560916 2453359.196 4.60500000   12.2  13.0  12.9  V  IBVS 5700             5.5  0.0  PROSPER                             03690.02012
 MisV:1275    13    10 021707   +560916 2453361.499 4.60500000   12.2  13.0  12.9  V  IBVS 5700             5.5  0.0  PROSPER                             03690.02012
 NSV 2470     12    10 053752   +085732 2452896.895 5.54145000   12.1  13.2  12.2  V  computed              13   0.0  PROSPER                             00714.00391
 NSV:2470     12    10 053752   +085732 2452899.665 5.54145000   12.1  13.2  12.2  V  computed              13   0.0  PROSPER                             00714.00391
 TASS J024644 11    10 024645   +010755 2451430.542 1.84550000   10.7  11.3  ?     V  computed              6    0.0  PROSPER                             00047.00482
 TASS:J024644 11    10 024645   +010755 2451431.465 1.84550000   10.7  11.3  ?     V  computed              6    0.0  PROSPER                             00047.00482
 V1011 Her    11    10 182932   +223424 2452922.784 7.66351900   11.2  12.9  11.4  V  computed              5    0.0  PROSPER                             02106.02463
 V1011:Her    11    10 182932   +223424 2452926.616 7.66351900   11.2  12.9  11.4  V  computed              5    0.0  PROSPER                             02106.02463
 V355 Aur     11    10 053942   +420715 2452989.374 17.6374333   11.1  12.2  11.5  V  computed              24   0.0  PROSPER                             02918.01961
 V355:Aur     11    10 053942   +420715 2452998.193 17.6374333   11.1  12.2  11.5  V  computed              24   0.0  PROSPER                             02918.01961
 V523 Aur     13    10 072403   +412602 2452716.820 0.33043700   13.3  14.4  14.4  V  computed              W         PROSPER                             02965.00210
 V523:Aur     13    10 072403   +412602 2452716.986 0.33043700   13.3  14.4  14.4  V  computed              W         PROSPER                             02965.00210
