LMC V0008    SiO maser.
LMC V0012    MinII 13.4.
LMC V0013    MinII 15.0.
LMC V0028    The star RA=04 46.2 DE=-68 40.7 (1875.0).
LMC V0029    [A/H]=-0.09. Innes 7 = 7.1937 = BV1525.
LMC V0033    [A/H]=-0.09.
LMC V0043    The star RA=04 49.0 DE=-69 34.4 (1875.0).
LMC V0057    The star RA=04 49.8 DE=-69 20.0 (1875.0).
LMC V0059    The star RA=04 50.0 DE=-69 23.0 (1875.0).
LMC V0067    Alternative P value is 791d.
LMC V0073    The star RA=04 50.5 DE=-69 36.4 (1875.0).
LMC V0079    In the region of the nebula LHa 120-N3.
LMC V0083    MinII 16.1.
LMC V0097    [A/H]=0.15.
LMC V0129    The star RA=04 52.5 DE=-68 25 (1875.0).
LMC V0146    According to [V0170], CEP(B):, P0 - see Table (semiamplitude 0.35B)
LMC V0146    P1/P0=0.69 (semiamplitude corresponding to P1 is 0.14B).
LMC V0160    The star RA=04 52.9 DE=-66 30.7 (1875.0).
LMC V0202    MinII 16.2. The elements satisfy the published moments of
LMC V0202    Min after JD 2427000.
LMC V0204    IR excess.
LMC V0210    IR excess.
LMC V0213    [Fe/H]=-0.20.
LMC V0215    P var. Min=2426572.63+65.69xE (JD 2413800 - 28000); since
LMC V0215    JD 2428000 - see Table. Alternative P=20.94d: [V0035].
LMC V0230    In the region of the cluster NGC 1751 (V2).
LMC V0242    P var. Max=2426444+34.348010xE (1910 - 1950); (1966 - 1978) -
LMC V0242    see Table. The observations in [V0076] (JD 2441574 - 927)
LMC V0242    contradict the tabulated elements.
LMC V0244    Blazhko effect?
LMC V0251    In the cluster NGC 1747.
LMC V0253    In the region of the cluster NGC 1747, in the nebula LHa 120-N9.
LMC V0253    SB2, O6-7n-nn+WN5-6A, Porb=1.99010d. The comparison star
LMC V0253    used in [V0485] is Sk-67 17 = V0251.
LMC V0255    IRAS 04553-6825.
LMC V0256    B-V: +0.44, +1.01.
LMC V0270    P var? [Fe/H]=+0.19.
LMC V0273    {Delta}S=5.6.
LMC V0286    Superposition of variations with P ~3.3h.
LMC V0304    According to [V0170], CEP(B):, P0=2.629441d (semiamplitude 0.62B),
LMC V0304    P1/P0=0.71 (semiamplitude corresponding to P1 is 0.30B).
LMC V0321    Multiple; the nucleus of the association LH9 in the nebula
LMC V0321    LHa 120-N11 (A 12.61m, O9.5II; B 13.14m, WC5-6, 1".4,
LMC V0321    192 {deg}; 11 components more).
LMC V0336    {Delta}S=9.6.
LMC V0348    P slightly exceeding 1d? P=1d/N? P=0.25d?
LMC V0356    [A/H]=0.31.
LMC V0360    {Delta}S=5.9.
LMC V0362    MinII 14.00.
LMC V0364    The star RA=04 57.5 DE=-68 44 (1875.0).
LMC V0365    [A/H]=0.15.
LMC V0370    Blazhko effect?
LMC V0379    B-V: +0.46, +0.75.
LMC V0398    No period was found in [V0035].
LMC V0418    [A/H]=-0.11. P var. Max=2423737.848+23.2959xE (1910 - 1950)
LMC V0418    [V0008]; since 1966 - see Table.
LMC V0421    Blazhko effect?
LMC V0427    {Delta}S=9.7.
LMC V0431    -0.04 <= B-V <= +0.10.
LMC V0439    MinII 15.7.
LMC V0440    Possibly identical with V0450.
LMC V0441    [A/H]=-0.01.
LMC V0444    The star RA=04 59.0 DE=-69 09.9 (1875.0).
LMC V0450    P < 1d?
LMC V0452    According to [V0170], CEP(B):, P0 - see Table (semiamplitude
LMC V0452    0.43B), P1/P0=0.71 (semiamplitude corresponding to P1 is 0.13B).
LMC V0461    P=309d is possible.
LMC V0462    Blazhko effect?
LMC V0464    BLBOO type? A star of the Galaxy? By ~1m brighter than RR
LMC V0464    stars in NGC 1786. M-m > 0.35P.
LMC V0467    According to [V0088], Max=2445640.809+0.36258xE (1983 - 1984).
LMC V0471    P=150d is possible.
LMC V0472    [A/H]=0.03.
LMC V0474    [A/H]=0.10. P var. Before JD 2423000 P=17.2476d; Max=2423486.545+
LMC V0474    17.2566xE (JD 2423000 - 39000) [V0008]; since JD 2439000 - see
LMC V0474    Table.
LMC V0485    VB A (B 2"N).
LMC V0494    Blazhko effect?
LMC V0495    In the cluster NGC 1783. Alternative P=1.918d.
LMC V0504    VB A (B 3"NE).
LMC V0509    VB B (A 2"E). B-V=-0.15.
LMC V0511    {Delta}S=7.2.
LMC V0514    Alternative P=241d. According to [V0035], Max=2439300:+(350:)xE.
LMC V0523    Variability not found in [V0035].
LMC V0529    The P value and the variability of the star are not confirmed
LMC V0529    by photoelectric observations [V0093].
LMC V0532    In the nebula LHa 120-N186. The spectrum resembles that of
LMC V0532    {eta} Car. Blue continuum, weak TiO bands; similarity to
LMC V0532    VV Cep was noticed.
LMC V0538    MinII 14.4.
LMC V0543    P var. Max=2423740.790+3.075930xE (1910 - 1966); since 1966 -
LMC V0543    see Table.
LMC V0545    P var. Max=2431107.354+31.81641xE (1910 - 1950); since 1966 -
LMC V0545    see Table. [A/H]=-0.12.
LMC V0567    P var. Max=2423682.875+133.583xE (1910 - 1950); since 1966 -
LMC V0567    see Table. H{alpha} in emission.
LMC V0570    {Delta} m and(or) phase var from cycle to cycle.
LMC V0575    {Delta}S=5.3.
LMC V0580    In the region of the cluster HS 83.
LMC V0582    [Fe/H]=-0.76, {Delta}S=3.3. {Delta} m var.
LMC V0586    The star RA=05 01.0 DE=-69 18.2 (1875.0).
LMC V0598    MinII 16.6.
LMC V0607    P var, quadratic term -0.000054dxExE. [A/H]=-0.15.
LMC V0614    MinII 16.3.
LMC V0624    Blazhko effect?
LMC V0625    May be identical with the X-ray source HRI 8. Vr var, P ~4d?,
LMC V0625    {Delta} V ~100 km/s [V0099].
LMC V0637    Blazhko effect?
LMC V0643    P var? Has decreased in the interval JD 2416800 - 24000? Since
LMC V0643    JD 2424000 - see Table.
LMC V0654    Blazhko effect?
LMC V0676    P var? Max=2423681.879+14.66551xE (1910 - 1950) [V0008]; since
LMC V0676    1966 - see Table.
LMC V0681    May be identical with the X-ray source HRI 9 [V0099].
LMC V0684    Blazhko effect?
LMC V0685    B-V: +0.73, +0.91.
LMC V0693    P var. Slight, probably abrupt, increase of P after JD 2416800.
LMC V0709    P var. Max=2430646.367+3.419856xE (1910 - 1950) [V0008]; since
LMC V0709    JD 2439000 - see Table.
LMC V0737    VB A (B p, 6"). Both components var? [V0016].
LMC V0741    MinII 15.5.
LMC V0743    According to [V0483], P=308d.
LMC V0747    P var. Max=2414639.708+9.49895xE (1910 - 1950) [V0008]; since
LMC V0747    JD 2439000 - see Table.
LMC V0752    P var? Max=2413894.749+4.184775xE (1910 - 1950) [V0008]; since
LMC V0752    1966 - see Table.
LMC V0753    P var. Max=2427660.599+23.9611xE (1910 - 1950) [V0008]; since
LMC V0753    JD 2435000 - see Table. [A/H]=0.02.
LMC V0754    Blazhko effect?
LMC V0768    Blazhko effect? P var? During JD 2440827 - 41312 - see Table.
LMC V0770    P var irregularly.
LMC V0788    P var, quadratic term -5.6dx10^(-8)xExE.
LMC V0810    P var. P decreased by ~0.00005d between JD 2416000 and 2433000,
LMC V0810    probably gradually.
LMC V0817    [A/H]=0.10.
LMC V0829    GRV 0503-6731? According to
LMC V0829    [V0445], Mira type?, 14.0-17.0I, P=900d.
LMC V0831    The star RA=05 04.3 DE=-68 40.7 (1875.0).
LMC V0835    B-V: +0.61, +1.28.
LMC V0852    According to [V0445], P=660d.
LMC V0854    In the region of the cluster NGC 1820.
LMC V0858    The co-ordinates in [V0037] are completely wrong.
LMC V0872    P var. Max=2431524.315+9.04748xE (1910 - 1950) [V0008]; since
LMC V0872    JD 2439000 - see Table.
LMC V0893    MinII 15.3.
LMC V0899    The star RA=05 05.0 DE=-68 00.0 (1875.0).
LMC V0907    The light curve shape var?
LMC V0912    MinII 17.0.
LMC V0915    The star RA=05 05.5 DE=-69 06.6 (1875.0).
LMC V0926    The star RA=05 05.5 DE=-68 15 (1875.0).
LMC V0947    According to [V0170], CEP(B): with the main period Pp (see Table)
LMC V0947    corresponding to the first overtone (semiamplitude 0.24B) and
LMC V0947    the secondary period P0 corresponding to the fundamental mode
LMC V0947    (P0/Pp=1.433, semiamplitude 0.08B).
LMC V0951    P var, slightly decreased after JD 2413000.
LMC V0966    Co-ordinates, magnitude, spectrum are from [V0491] (Var 9).
LMC V0968    MinII 15.4.
LMC V0977    P ~3.5062 d is possible (M-m ~0.3) [V0059].
LMC V0994    Red. Besides slow changes, variations ~1m B in several hours.
LMC V1006    P=60d-120d.
LMC V1022    [Fe/H]=-0.06. P var?
LMC V1025    According to [V0170], CEP(B):, P0 - see Table (semiamplitude 0.24B)
LMC V1025    P1/P0=0.70 (semiamplitude corresponding to P1 is 0.10B).
LMC V1032    [A/H]=0.06.
LMC V1055    MinII 17.0.
LMC V1059    B-V: +0.64, +1.06. [A/H]=-0.12.
LMC V1073    MinII 15.5.
LMC V1074    VB.
LMC V1080    [A/H]=0.28.
LMC V1089    P var. Abrupt decrease from 47.5195d to 47.5174d near JD 2424500.
LMC V1089    Max=2432882.314+47.52xE (before 1950) [V0008]; since JD 2434600 -
LMC V1089    see Table. B-V:+0.64, +1.28.
LMC V1097    B-V: +0.59, +1.33.
LMC V1109    B-V: +0.60, +1.09.
LMC V1111    In the centre of LHa 120-N100.
LMC V1112    In the region of the cluster NGC 1846.
LMC V1114    MinII 16.1.
LMC V1125    Accepted to be identical with No.10 [V0002].
LMC V1134    P var. Max=2426573.635+26.6736xE-3.4x10^(-5)xExE (1910-1950)
LMC V1134    [V0008]; since JD 2434700 - see Table. B-V: +0.34, +1.09.
LMC V1137    According to [V0170], CEP(B):, P0 - see Table (semiamplitude 0.43B)
LMC V1137    P1/P0=0.71 (semiamplitude corresponding to P1 is 0.18B).
LMC V1145    MinII 16.7.
LMC V1148    Variability was not confirmed by photoelectric observations
LMC V1148    [V0031]. V=13.88, B-V=+0.04.
