           The list of the abbreviations in the references.

-----------------------------------------------------------------------------------------------------------------------
Simb.|         GCVS              |         Literature
-----------------------------------------------------------------------------------------------------------------------
AcA  |AA                         |Acta Astronomica
AcASn|AA Sinica                  |Acta Astronomica Sinica
AcAS |AA Suppl                   |Acta Astronomica Supplementa
AAONw|AAO Newsletter             |Anglo-Australian Observatory Epping - Newsletter
AVSOA|AAVSO Abstr                |American Association of Variable Stars Observers - Abstracts
     |AAVSO Circr                |American Association of Variable Stars Observers - Circular
     |AAb                        |Acta Astronomica, Ser.b
     |AAc                        |Acta Astronomica, Ser.c
AnAp |AAp                        |Annales d'Astrophysique
MitAG|AG Mit                     |Mitteilungen der Astronomischen Gesellschaft, Hamburg
AJ   |AJ                         |The Astronomical Journal
AN   |AN                         |Astronomische Nachrichten
A&R  |AR                         |Astronomie und Raumfahrt
ASV  |ASV                        |Atlas stellarum variabilium.
MeAar|Aarhus Medd                |Meddelelser fra Ole Romer Observatoriet, Aarhus
AbaOB|Abastumani Byull           |Abastumanskaya Astrofizicheskaya Observatoriya, Gora Kanobili, Byulleten
     |Abh Deutsch Akad Wiss      |Abhandlungen der Deutschen Akademie der Wissenschaften. Mathemetische und naturwissenschaftliche Klasse
     |Abh Preuss Akad Wiss       |Abhandlungen der Preussischen Akademie der Wissenschaften. Mathemetische und naturwissenschaftliche Klasse
     |Acta Pontificia            |Acta Pontificia Academia Scientarium
PAllO|Allegheny Publ             |Publications of the Allegheny Observatory of the University of
ARA&A|Ann Rev As Ap              |Annual Review of Astronomy and Astrophysics
ApJ  |ApJ                        |The Astrophysical Journal
ApJS |ApJ Suppl                  |The Astrophysical Journal, Supplement Series
ApL  |ApL                        |Astrophysical Letters (continued by Astrophysical Letters &
Ap&SS|ApSS                       |Astrophysics and Space Science
     |Arcetri Pubbl              |Pubblicazioni dell'Universita degli Studi di Firenze. Osservazioni e Memorie dell' Osservatorio Astrofisico di Arcetri
BAAA |Argentina Bol              |Boletin de la Asociacion Argentina de Astronomia, La Plata, Argentina
TreP |Ariel Pubbl                |Osservatorio Privato Specola "Ariel" Treviso Italia - Pubblicazione
CoLPL|Arizona Comm               |Communications of the Lunar and Planetary Laboratory(Tucson)
ArA  |Ark Astr                   |Arkiv foer Astronomi
A&A  |AsAp                       |Astronomy and Astrophysics
A&AS |AsAp Suppl                 |Astronomy and Astrophysics, Supplement Series
CoAsi|Asiago Contr               |Contributi dell'Osservatorio Astrofisico dell'Universita di Padova in
     |Astr Abh Leipzig           |Astronomische Abhandlungen. Professor Dr.Cuno Hoffmeister zum 70. Geburtstage gewidmet, Leipzig
Afz  |Astrofizika                |Astrofizika, Erevan
ATsir|Astron Tsirk               |Astronomicheskij Tsirkulyar, Izdavaemyi Byuro Astronomicheskikh Soobshchenij Akademii Nauk SSSR
AZh  |Astron Zh                  |Astronomicheskij Zhurnal (translation in Astronomy Reports)
PAZh |Astron Zh Pisma            |Pis'ma v Astronomicheskij Zhurnal
BAth |Athens Bull                |National Observatory of Athens, Greece - Bulletin of the Astronomical
AtlVS|Atlas of Finding Charts ...|Atlas Poiskovykh Kart Peremennykh Zvezd
AuJPh|Austral J Phys             |Australian Journal of Physics
AuJPA|Austral J Phys Ap Supp     |Australian Journal of Physics, Astrophysical Supplement
     |BA                         |Bulletin Astronomique.
BAORB|BA Uccle                   |Bulletin Astronomique. Observatoire Royal de Belgique (Astronomisch Bulletin. Koninklijke Sterrenwacht van Belgie)
BAAS |BAAS                       |Bulletin of the American Astronomical Society
BAICz|BAC                        |Bulletin of the Astronomical Institutes of Czechoslovakia, Praha
     |BAF                        |Bulletin de l'Association Francaise d'Observateurs d'Etoiles Variables, Lyon (1932-1954)
AFOEV|BAFOEV                     |Bulletin de l'Association Francaise d'Observateurs d'Etoiles Variables (since 1970)
BAN  |BAN                        |Bulletin of the Astronomical Institutes of the Netherlands
BANS |BAN Suppl                  |Bulletin of the Astronomical Institutes of the Netherlands, Supplement
BAVSR|BAV-R                      |BAV Rundbrief - Mitteilungsblatt der Berliner Arbeits-gemeinschaft fuer Veraenderliche Sterne
BBSAG|BBSAG Bull                 |Bulletin der Bedeckungsveraenderlichen-Beobachter der Schweizerischen
     |BSAF                       |Bulletin de la Societe Astronomique de France (l'Astronomie)
BMai |BSAM                       |Bulletin de la Station Astrophotographique de Mainterne
     |BSD                        |Bergdorfer Spektral-Durchmusterung.
ANZi |BZ                         |Beobachtungs-Zirkular der Astronomischen Nachrichten
BamVe|Bamb Ver                   |Bamberg Veroeffentlichungen der Remeis-Sternwarte
     |Belg Ann                   |Annales de l'Observatoire Royal de Belgique (nouvelle serie). Annales Astronomiques
BOBeo|Belgrad Bull               |Bulletin de l'Observatoire Astronomique de Belgrade (ISSN: 0354-2955)
